epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1805,1.27085,4.08372,1.42782,0.51821,0.22465,0.25396,0.17535,1.16367,2.36222,1.34344,7.09111e-05,7.09111e-05,7.09111e-05
2,120.561,1.23768,2.5907,1.35384,0.52683,0.49036,0.51568,0.38362,0.96787,1.63013,1.20451,0.000137228,0.000137228,0.000137228
3,176.149,1.16978,1.97688,1.28987,0.57635,0.65238,0.61533,0.48773,0.87052,1.27492,1.11256,0.000198859,0.000198859,0.000198859
4,231.32,1.13004,1.61164,1.24892,0.63573,0.71356,0.71718,0.56717,0.84524,0.98351,1.06785,0.000191913,0.000191913,0.000191913
5,286.024,1.10509,1.39117,1.22626,0.77198,0.64562,0.72218,0.59351,0.8036,0.93224,1.04913,0.000184884,0.000184884,0.000184884
6,340.865,1.06616,1.22889,1.19957,0.78109,0.73672,0.77635,0.62796,0.78431,0.85599,1.02812,0.000177855,0.000177855,0.000177855
7,395.521,1.03518,1.11992,1.18477,0.75354,0.76687,0.79143,0.64702,0.76052,0.79196,1.02209,0.000170826,0.000170826,0.000170826
8,450.579,1.01556,1.02922,1.17162,0.80774,0.74374,0.79697,0.6568,0.74989,0.80938,1.01431,0.000163797,0.000163797,0.000163797
9,505.934,1.01301,0.98332,1.16627,0.80526,0.76951,0.81214,0.67743,0.73037,0.70508,0.99245,0.000156768,0.000156768,0.000156768
10,560.729,0.98811,0.92301,1.14936,0.78909,0.78052,0.80865,0.67941,0.71843,0.67332,0.98925,0.000149739,0.000149739,0.000149739
11,615.626,0.96681,0.88417,1.13917,0.78826,0.78389,0.83098,0.69398,0.71183,0.65059,0.98235,0.00014271,0.00014271,0.00014271
12,670.444,0.95329,0.83265,1.13037,0.78914,0.77618,0.83013,0.70238,0.72267,0.667,0.98086,0.000135681,0.000135681,0.000135681
13,725.05,0.94595,0.80882,1.1268,0.79351,0.80267,0.83177,0.69819,0.71156,0.63364,0.97489,0.000128652,0.000128652,0.000128652
14,779.524,0.92848,0.78291,1.11689,0.80457,0.77028,0.83488,0.69245,0.70701,0.66216,0.98309,0.000121623,0.000121623,0.000121623
15,835.165,0.91958,0.76103,1.11252,0.78806,0.80026,0.82958,0.70074,0.71277,0.63533,0.97964,0.000114594,0.000114594,0.000114594
16,889.937,0.90394,0.7344,1.10139,0.79088,0.7986,0.8549,0.71977,0.69485,0.62641,0.98394,0.000107565,0.000107565,0.000107565
17,944.511,0.89878,0.71618,1.09802,0.78893,0.8214,0.85924,0.72905,0.68166,0.61699,0.96639,0.000100536,0.000100536,0.000100536
18,999.001,0.88052,0.68965,1.09256,0.75145,0.82376,0.85298,0.73335,0.66183,0.61008,0.95597,9.3507e-05,9.3507e-05,9.3507e-05
19,1053.73,0.87362,0.6764,1.08833,0.77332,0.83772,0.85267,0.73073,0.66091,0.5718,0.94753,8.6478e-05,8.6478e-05,8.6478e-05
20,1108.44,0.86908,0.66624,1.08303,0.84603,0.79413,0.85934,0.73687,0.65733,0.55918,0.95384,7.9449e-05,7.9449e-05,7.9449e-05
21,1183.92,0.85205,0.52641,1.08014,0.79314,0.83554,0.86215,0.73471,0.66328,0.57011,0.95705,7.242e-05,7.242e-05,7.242e-05
22,1238.98,0.82898,0.49743,1.06531,0.84506,0.83673,0.86945,0.74161,0.662,0.55473,0.95188,6.5391e-05,6.5391e-05,6.5391e-05
23,1293.52,0.80595,0.48043,1.05318,0.83304,0.83869,0.87729,0.75366,0.63602,0.53548,0.94407,5.8362e-05,5.8362e-05,5.8362e-05
24,1347.62,0.79259,0.46325,1.04418,0.84363,0.8247,0.8703,0.7452,0.63958,0.54509,0.94904,5.1333e-05,5.1333e-05,5.1333e-05
25,1401.89,0.77932,0.45423,1.03382,0.84983,0.83622,0.87844,0.74811,0.64683,0.56014,0.94876,4.4304e-05,4.4304e-05,4.4304e-05
26,1455.8,0.7581,0.43588,1.02432,0.84723,0.8227,0.87405,0.74969,0.63633,0.54778,0.94409,3.7275e-05,3.7275e-05,3.7275e-05
27,1509.34,0.75024,0.43154,1.02095,0.84948,0.82834,0.88128,0.76149,0.62946,0.51909,0.93927,3.0246e-05,3.0246e-05,3.0246e-05
28,1564.51,0.74311,0.41921,1.01521,0.87531,0.82887,0.87767,0.76152,0.62397,0.52866,0.937,2.3217e-05,2.3217e-05,2.3217e-05
29,1618.72,0.73444,0.41364,1.00924,0.81445,0.85974,0.87666,0.7556,0.6301,0.52206,0.94025,1.6188e-05,1.6188e-05,1.6188e-05
30,1672.83,0.72226,0.40708,1.00599,0.82437,0.8574,0.87743,0.75532,0.63027,0.52352,0.93959,9.159e-06,9.159e-06,9.159e-06
