epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.4397,1.28665,3.39731,1.4231,0.7591,0.47601,0.57102,0.4331,0.96279,1.34037,1.20708,7.09111e-05,7.09111e-05,7.09111e-05
2,165.203,1.16653,1.35514,1.30556,0.64904,0.66661,0.68588,0.54261,0.87673,1.06764,1.13833,0.000137228,0.000137228,0.000137228
3,243.308,1.14072,1.1532,1.29658,0.68619,0.74104,0.76242,0.60906,0.83357,0.94245,1.11349,0.000198859,0.000198859,0.000198859
4,321.01,1.11676,1.05306,1.27696,0.69282,0.75997,0.81115,0.66304,0.79656,0.83928,1.06911,0.000191913,0.000191913,0.000191913
5,398.751,1.08174,0.96322,1.24569,0.77771,0.76434,0.81938,0.66018,0.81862,0.75207,1.0991,0.000184884,0.000184884,0.000184884
6,476.858,1.04344,0.88654,1.21935,0.76734,0.81069,0.83573,0.67053,0.78661,0.72241,1.05273,0.000177855,0.000177855,0.000177855
7,554.538,1.00579,0.83339,1.20078,0.74403,0.82039,0.85447,0.69565,0.75649,0.64333,1.06066,0.000170826,0.000170826,0.000170826
8,632.082,0.98298,0.79055,1.18803,0.77493,0.8197,0.85241,0.69578,0.74674,0.72003,1.03292,0.000163797,0.000163797,0.000163797
9,710.087,0.97955,0.76476,1.1795,0.79301,0.82621,0.86738,0.72749,0.70977,0.60229,1.01274,0.000156768,0.000156768,0.000156768
10,787.773,0.95409,0.72151,1.16006,0.81742,0.79628,0.85713,0.7134,0.70743,0.58754,1.01547,0.000149739,0.000149739,0.000149739
11,865.867,0.92825,0.70175,1.14415,0.82696,0.83579,0.86143,0.72224,0.70992,0.56949,1.01314,0.00014271,0.00014271,0.00014271
12,943.573,0.91475,0.66558,1.13665,0.80835,0.84756,0.8852,0.75647,0.67597,0.52732,0.98731,0.000135681,0.000135681,0.000135681
13,1020.91,0.91032,0.64772,1.13248,0.81813,0.82001,0.87631,0.74463,0.68822,0.53921,0.99745,0.000128652,0.000128652,0.000128652
14,1098.67,0.88533,0.63121,1.11795,0.83048,0.82631,0.86519,0.73619,0.66843,0.5426,0.99115,0.000121623,0.000121623,0.000121623
15,1176.07,0.87748,0.62263,1.11573,0.79186,0.84185,0.85724,0.72472,0.67196,0.54662,0.98842,0.000114594,0.000114594,0.000114594
16,1253.83,0.85965,0.59073,1.10433,0.82426,0.84075,0.86916,0.73868,0.66044,0.55325,0.98002,0.000107565,0.000107565,0.000107565
17,1331.44,0.84905,0.5755,1.09585,0.81186,0.864,0.90009,0.77308,0.644,0.522,0.97966,0.000100536,0.000100536,0.000100536
18,1409.08,0.82992,0.55754,1.08956,0.83713,0.83974,0.87566,0.75444,0.63798,0.52134,0.96378,9.3507e-05,9.3507e-05,9.3507e-05
19,1486.81,0.82124,0.54074,1.0843,0.8099,0.86504,0.87385,0.74809,0.63944,0.51741,0.97419,8.6478e-05,8.6478e-05,8.6478e-05
20,1564.87,0.81688,0.53969,1.08323,0.82367,0.85341,0.88359,0.75974,0.64173,0.50211,0.97143,7.9449e-05,7.9449e-05,7.9449e-05
21,1663.25,0.8016,0.40854,1.06935,0.84188,0.84367,0.88615,0.7589,0.64232,0.51236,0.97758,7.242e-05,7.242e-05,7.242e-05
22,1740.26,0.76825,0.38513,1.05256,0.87412,0.84669,0.88824,0.75935,0.62871,0.505,0.96069,6.5391e-05,6.5391e-05,6.5391e-05
23,1817.57,0.74879,0.3725,1.04129,0.84853,0.84177,0.88327,0.75783,0.61945,0.50467,0.95973,5.8362e-05,5.8362e-05,5.8362e-05
24,1894.71,0.72516,0.35989,1.02628,0.85757,0.83775,0.87944,0.75604,0.63324,0.49547,0.97342,5.1333e-05,5.1333e-05,5.1333e-05
25,1972.45,0.7132,0.34756,1.01384,0.87908,0.83676,0.88049,0.76199,0.62187,0.48583,0.95852,4.4304e-05,4.4304e-05,4.4304e-05
26,2050.27,0.69168,0.33387,1.00294,0.86286,0.84855,0.87168,0.7512,0.62322,0.49234,0.96194,3.7275e-05,3.7275e-05,3.7275e-05
27,2127.68,0.68055,0.33106,0.9993,0.87832,0.85975,0.88212,0.76601,0.6081,0.49327,0.95663,3.0246e-05,3.0246e-05,3.0246e-05
28,2205.1,0.66639,0.31754,0.99103,0.85279,0.86778,0.88376,0.77087,0.60237,0.47454,0.949,2.3217e-05,2.3217e-05,2.3217e-05
29,2282.58,0.65322,0.31203,0.98063,0.8737,0.86253,0.88978,0.77069,0.60421,0.47367,0.95065,1.6188e-05,1.6188e-05,1.6188e-05
30,2359.94,0.64,0.30649,0.97709,0.86995,0.85981,0.89033,0.77645,0.60339,0.4694,0.94976,9.159e-06,9.159e-06,9.159e-06
