epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7905,1.29683,3.78749,1.435,0.52749,0.2866,0.26024,0.18847,1.0649,2.17967,1.27256,7.09111e-05,7.09111e-05,7.09111e-05
2,108.318,1.24369,2.4863,1.36204,0.59288,0.52486,0.52352,0.39559,0.9505,1.49325,1.20645,0.000137228,0.000137228,0.000137228
3,157.699,1.20097,1.96529,1.32374,0.58016,0.5979,0.62814,0.45191,1.06989,1.28978,1.25205,0.000198859,0.000198859,0.000198859
4,206.814,1.15847,1.62984,1.28823,0.58259,0.67466,0.66559,0.51926,0.86319,1.11622,1.12835,0.000191913,0.000191913,0.000191913
5,255.165,1.13351,1.40862,1.26758,0.71553,0.68514,0.71283,0.55935,0.91072,1.06536,1.13982,0.000184884,0.000184884,0.000184884
6,303.3,1.09975,1.26291,1.24786,0.64783,0.75124,0.75619,0.60394,0.84764,0.95865,1.10263,0.000177855,0.000177855,0.000177855
7,351.139,1.06559,1.14964,1.229,0.70492,0.75443,0.77894,0.61563,0.83197,0.88048,1.09536,0.000170826,0.000170826,0.000170826
8,399.036,1.04635,1.06583,1.21743,0.79831,0.70632,0.80562,0.64325,0.8253,0.84659,1.08557,0.000163797,0.000163797,0.000163797
9,447.412,1.04848,1.02095,1.21541,0.75702,0.80184,0.81009,0.66139,0.79231,0.79414,1.06903,0.000156768,0.000156768,0.000156768
10,495.644,1.02461,0.96232,1.20035,0.81004,0.78033,0.8399,0.69202,0.77365,0.74476,1.06861,0.000149739,0.000149739,0.000149739
11,544.11,1.0041,0.93117,1.18985,0.83738,0.75547,0.8259,0.67901,0.76439,0.73074,1.05759,0.00014271,0.00014271,0.00014271
12,592.759,0.99391,0.87453,1.17973,0.80075,0.80995,0.84814,0.69073,0.75002,0.69258,1.04448,0.000135681,0.000135681,0.000135681
13,640.744,0.98895,0.85341,1.17601,0.79555,0.81194,0.85195,0.69806,0.75914,0.67613,1.04761,0.000128652,0.000128652,0.000128652
14,688.951,0.96723,0.82843,1.16524,0.78008,0.7862,0.85604,0.70872,0.74077,0.68225,1.03351,0.000121623,0.000121623,0.000121623
15,736.881,0.95665,0.80799,1.15925,0.7954,0.79968,0.85616,0.70826,0.73717,0.66002,1.03844,0.000114594,0.000114594,0.000114594
16,784.856,0.9492,0.77894,1.1525,0.78417,0.83402,0.8625,0.71642,0.71808,0.63175,1.02791,0.000107565,0.000107565,0.000107565
17,832.865,0.94052,0.76474,1.14491,0.77983,0.81395,0.85814,0.71401,0.71491,0.63567,1.02211,0.000100536,0.000100536,0.000100536
18,881.143,0.92097,0.73537,1.13865,0.79207,0.82122,0.84843,0.70702,0.70133,0.62314,1.01035,9.3507e-05,9.3507e-05,9.3507e-05
19,929.662,0.91545,0.72577,1.13295,0.84406,0.80632,0.8553,0.72081,0.71621,0.60196,1.01412,8.6478e-05,8.6478e-05,8.6478e-05
20,977.835,0.91026,0.71566,1.12868,0.81191,0.79682,0.86468,0.72163,0.70688,0.62564,1.01574,7.9449e-05,7.9449e-05,7.9449e-05
21,1046.64,0.89942,0.57258,1.13559,0.82323,0.80729,0.86991,0.72732,0.7024,0.58145,1.01285,7.242e-05,7.242e-05,7.242e-05
22,1094.58,0.8779,0.53935,1.11867,0.8524,0.81412,0.87103,0.73183,0.68995,0.58816,1.00877,6.5391e-05,6.5391e-05,6.5391e-05
23,1142.39,0.86409,0.52444,1.11376,0.82796,0.81074,0.87621,0.73805,0.68375,0.57773,1.00184,5.8362e-05,5.8362e-05,5.8362e-05
24,1190.14,0.84526,0.50331,1.10102,0.83607,0.82412,0.87535,0.73987,0.67454,0.56684,0.99863,5.1333e-05,5.1333e-05,5.1333e-05
25,1238.03,0.82939,0.49304,1.08306,0.77391,0.859,0.87379,0.73853,0.67562,0.57598,0.9975,4.4304e-05,4.4304e-05,4.4304e-05
26,1286.43,0.81541,0.48095,1.07892,0.84563,0.81299,0.87471,0.73977,0.67069,0.56204,0.99627,3.7275e-05,3.7275e-05,3.7275e-05
27,1334.58,0.80737,0.4729,1.07345,0.78349,0.85532,0.87601,0.74127,0.66454,0.56544,0.99465,3.0246e-05,3.0246e-05,3.0246e-05
28,1382.36,0.7944,0.45789,1.06547,0.85257,0.80893,0.87885,0.74708,0.66085,0.5552,0.99377,2.3217e-05,2.3217e-05,2.3217e-05
29,1430.22,0.78823,0.4559,1.06057,0.85148,0.81193,0.8785,0.74453,0.65977,0.55613,0.99426,1.6188e-05,1.6188e-05,1.6188e-05
30,1478.12,0.77758,0.4481,1.05752,0.86321,0.81072,0.88267,0.75077,0.65924,0.54992,0.9927,9.159e-06,9.159e-06,9.159e-06
