epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.1833,1.3021,3.19803,1.44767,0.59252,0.49577,0.52544,0.38693,1.1077,1.6608,1.29055,7.09111e-05,7.09111e-05,7.09111e-05
2,154.98,1.18427,1.46593,1.31529,0.7364,0.65285,0.68634,0.52978,0.93457,1.09232,1.19072,0.000137228,0.000137228,0.000137228
3,229.705,1.13716,1.17858,1.28351,0.72292,0.67062,0.75402,0.57152,1.0088,1.12244,1.21872,0.000198859,0.000198859,0.000198859
4,304.212,1.1128,1.05883,1.2645,0.73471,0.73593,0.78709,0.61936,0.87183,0.83063,1.13982,0.000191913,0.000191913,0.000191913
5,378.398,1.09154,0.95667,1.24827,0.7371,0.79054,0.80475,0.64014,0.83179,0.80882,1.10495,0.000184884,0.000184884,0.000184884
6,452.361,1.05205,0.88067,1.22618,0.79433,0.74012,0.84382,0.67453,0.8171,0.79559,1.09301,0.000177855,0.000177855,0.000177855
7,527.104,1.01376,0.83465,1.20541,0.75112,0.79654,0.83597,0.67096,0.80764,0.67832,1.0979,0.000170826,0.000170826,0.000170826
8,601.536,0.99777,0.7894,1.19925,0.83295,0.83874,0.86253,0.69103,0.79327,0.68595,1.07204,0.000163797,0.000163797,0.000163797
9,675.881,0.99095,0.76555,1.19128,0.84469,0.8194,0.87268,0.70559,0.75247,0.68364,1.04586,0.000156768,0.000156768,0.000156768
10,750.046,0.9666,0.73177,1.1741,0.82494,0.80709,0.85801,0.7129,0.71685,0.60243,1.02277,0.000149739,0.000149739,0.000149739
11,823.901,0.94019,0.70949,1.15989,0.83679,0.85258,0.87272,0.71656,0.7106,0.5881,1.02438,0.00014271,0.00014271,0.00014271
12,897.89,0.92395,0.67463,1.14794,0.81153,0.83445,0.84881,0.69989,0.72831,0.59217,1.02671,0.000135681,0.000135681,0.000135681
13,971.889,0.91747,0.6624,1.14523,0.79928,0.85106,0.8791,0.74231,0.69681,0.56051,1.00829,0.000128652,0.000128652,0.000128652
14,1046.84,0.8967,0.64498,1.13496,0.79625,0.87776,0.87498,0.73262,0.69179,0.59372,1.00637,0.000121623,0.000121623,0.000121623
15,1120.63,0.88256,0.6259,1.12719,0.8334,0.85486,0.88456,0.74728,0.67487,0.56926,0.99698,0.000114594,0.000114594,0.000114594
16,1195.06,0.87102,0.60423,1.11569,0.83272,0.87066,0.89016,0.74777,0.68019,0.55341,0.99567,0.000107565,0.000107565,0.000107565
17,1269.45,0.85672,0.59339,1.10844,0.85859,0.84027,0.89271,0.75671,0.66326,0.54001,0.98687,0.000100536,0.000100536,0.000100536
18,1343.43,0.84274,0.56699,1.10063,0.84271,0.85443,0.88292,0.75285,0.64977,0.55881,0.96746,9.3507e-05,9.3507e-05,9.3507e-05
19,1418.18,0.83107,0.55706,1.09028,0.88137,0.85222,0.89199,0.75521,0.66974,0.53245,0.9789,8.6478e-05,8.6478e-05,8.6478e-05
20,1492.48,0.82563,0.55138,1.08655,0.86183,0.85499,0.88524,0.7499,0.65982,0.54185,0.97717,7.9449e-05,7.9449e-05,7.9449e-05
21,1586.03,0.80658,0.41892,1.07536,0.87865,0.86376,0.90302,0.76494,0.65159,0.52401,0.97309,7.242e-05,7.242e-05,7.242e-05
22,1659.98,0.78337,0.3988,1.05977,0.89062,0.84757,0.90324,0.76653,0.64903,0.51468,0.96982,6.5391e-05,6.5391e-05,6.5391e-05
23,1734.51,0.76397,0.38575,1.04481,0.86038,0.86868,0.8921,0.76625,0.62984,0.50897,0.95704,5.8362e-05,5.8362e-05,5.8362e-05
24,1808.72,0.74243,0.3724,1.03292,0.84416,0.87394,0.89895,0.77286,0.62736,0.5159,0.95515,5.1333e-05,5.1333e-05,5.1333e-05
25,1882.72,0.72707,0.35974,1.01635,0.8791,0.86142,0.89188,0.76863,0.63623,0.51493,0.95567,4.4304e-05,4.4304e-05,4.4304e-05
26,1956.36,0.71418,0.3504,1.00844,0.82037,0.89536,0.9059,0.77097,0.63417,0.50917,0.95546,3.7275e-05,3.7275e-05,3.7275e-05
27,2030.4,0.69484,0.34352,1.00197,0.88595,0.86502,0.89765,0.76985,0.62359,0.50906,0.95438,3.0246e-05,3.0246e-05,3.0246e-05
28,2104.39,0.68132,0.32981,0.99614,0.85337,0.88266,0.88399,0.75589,0.61528,0.50516,0.95231,2.3217e-05,2.3217e-05,2.3217e-05
29,2178.31,0.67058,0.32549,0.98864,0.86231,0.87646,0.88375,0.7589,0.61813,0.50678,0.95456,1.6188e-05,1.6188e-05,1.6188e-05
30,2252.14,0.65816,0.31954,0.98387,0.86284,0.88351,0.88474,0.76378,0.61895,0.50452,0.95493,9.159e-06,9.159e-06,9.159e-06
