Class,AP,Precision,Recall,F1,TP,FP,FN,GT_Count
bicycle,58.90,42.11,80.00,55.17,8,11,2,10
bus_stop,90.91,97.80,93.68,95.70,89,2,6,95
children,65.91,20.00,100.00,33.33,4,16,0,4
crosswalk,83.50,45.00,96.43,61.36,27,33,1,28
do_not_stop,N/A,0.00,0.00,0.00,0,1,0,0
do_not_turn_left,88.24,66.67,92.31,77.42,12,6,1,13
do_not_turn_right,45.45,57.14,40.00,47.06,4,3,6,10
do_not_u_turn,100.00,90.91,100.00,95.24,10,1,0,10
enter_left_lane,75.32,64.29,100.00,78.26,9,5,0,9
give_way,54.55,57.14,50.00,53.33,4,3,4,8
green_light,69.21,80.70,79.31,80.00,46,11,12,58
left_lane_enter,36.36,100.00,33.33,50.00,2,0,4,6
left_turn,45.45,80.00,40.00,53.33,4,1,6,10
narrow_road,25.32,73.33,20.75,32.35,11,4,42,53
no_entry,50.77,77.27,58.62,66.67,17,5,12,29
no_overtaking,0.00,0.00,0.00,0.00,0,10,4,4
no_parking,27.27,16.67,20.00,18.18,2,10,8,10
no_stop,0.00,0.00,0.00,0.00,0,0,2,2
no_waiting,90.91,100.00,90.00,94.74,9,0,1,10
parking,90.66,97.30,93.51,95.36,72,2,5,77
railway_crossing,100.00,100.00,100.00,100.00,10,0,0,10
red_light,88.29,77.32,98.68,86.71,75,22,1,76
refueling,36.36,100.00,33.33,50.00,2,0,4,6
right_turn,59.81,30.43,70.00,42.42,14,32,6,20
road_main,63.64,100.00,66.67,80.00,4,0,2,6
road_work,100.00,100.00,100.00,100.00,4,0,0,4
school_nearby,23.92,63.16,20.00,30.38,12,7,48,60
speed_bump,44.33,40.00,50.00,44.44,10,15,10,20
speed_limit_100,0.00,0.00,0.00,0.00,0,4,6,6
speed_limit_120,0.00,0.00,0.00,0.00,0,1,4,4
speed_limit_20,36.36,100.00,33.33,50.00,2,0,4,6
speed_limit_30,38.64,31.58,42.86,36.36,6,13,8,14
speed_limit_40,72.73,85.71,75.00,80.00,6,1,2,8
speed_limit_50,0.00,0.00,0.00,0.00,0,0,8,8
speed_limit_60,39.43,42.11,53.33,47.06,8,11,7,15
speed_limit_70,0.00,0.00,0.00,0.00,0,2,3,3
speed_limit_80,6.06,18.18,25.00,21.05,2,9,6,8
stop,62.97,84.44,63.33,72.38,38,7,22,60
t_intersection_l,54.55,50.00,66.67,57.14,4,4,2,6
truck,0.00,0.00,0.00,0.00,0,0,4,4
u_turn,90.91,93.10,93.91,93.51,108,8,7,115
warning,54.55,100.00,50.00,66.67,2,0,2,4
yellow_light,50.68,88.24,60.00,71.43,15,2,10,25

OVERALL,50.52,71.33,69.81,70.56,652,262,282,
